client_id, collateral_type, symbol, quantity, price, date
100010,stock,Adyen,1000,10000000.31603992,2024-02-01
100010,stock,NN,1000,10000006.936549172,2024-02-02
100010,stock,NN,1000,10000004.18619428,2024-02-03
100010,stock,Philips,1000,10000005.131084146,2024-02-04
100010,stock,Shell,1000,10000010.427977955,2024-02-05
100010,stock,ING,1000,10000000.888585642,2024-02-06
100010,stock,ASML,2000,20000006.971930694,2024-02-01
100010,stock,Philips,2000,20000002.57930605,2024-02-02
100010,stock,Philips,2000,20000008.954432845,2024-02-03
100010,stock,Adyen,2000,20000007.436132673,2024-02-04
100010,stock,ABN,2000,20000006.960586064,2024-02-05
100010,stock,ABN,2000,20000006.26221937,2024-02-06
100010,stock,Adyen,3000,30000001.34012064,2024-02-01
100010,stock,NN,3000,30000003.32287536,2024-02-02
100010,stock,Shell,3000,30000000.89248813,2024-02-03
100010,stock,ASML,3000,30000000.026862703,2024-02-04
100010,stock,ABN,3000,30000006.718971007,2024-02-05
100010,stock,Adyen,3000,30000001.334995657,2024-02-06
100010,stock,NN,4000,40000005.2779124,2024-02-01
100010,stock,Shell,4000,40000004.701887056,2024-02-02
100010,stock,ASML,4000,40000010.14767784,2024-02-03
100010,stock,ABN,4000,40000010.538606755,2024-02-04
100010,stock,Philips,4000,40000000.39411364,2024-02-05
100010,stock,Shell,4000,40000005.73528223,2024-02-06
100010,stock,Philips,5000,50000004.41880219,2024-02-01
100010,stock,ING,5000,50000001.528720364,2024-02-02
100010,stock,Philips,5000,50000003.11215357,2024-02-03
100010,stock,ASML,5000,50000001.827155076,2024-02-04
100010,stock,Adyen,5000,50000009.14421648,2024-02-05
100010,stock,NN,5000,50000000.087645195,2024-02-06
100010,stock,NN,6000,60000002.229999974,2024-02-01
100010,stock,ING,6000,60000000.5311517,2024-02-02
100010,stock,ABN,6000,60000004.47668736,2024-02-03
100010,stock,Adyen,6000,60000004.07110772,2024-02-04
100010,stock,ASML,6000,60000000.96268722,2024-02-05
100010,stock,ING,6000,60000003.90372672,2024-02-06
100010,stock,ASML,7000,70000004.9208433,2024-02-01
100010,stock,ASML,7000,70000004.83213958,2024-02-02
100010,stock,Shell,7000,70000006.0504978,2024-02-03
